min_diff,max_diff,prob_big,prob_small
0,3,.50,.50
4,10,.51,.49
11,17,.52,.48
18,25,.53,.47
26,32,.54,.46
33,39,.55,.45
40,46,.56,.44
47,53,.57,.43
54,61,.58,.42
62,68,.59,.41
69,76,.60,.40
77,83,.61,.39
84,91,.62,.38
92,98,.63,.37
99,106,.64,.36
107,113,.65,.35
114,121,.66,.34
122,129,.67,.33
130,137,.68,.32
138,145,.69,.31
146,153,.70,.30
154,162,.71,.29
163,170,.72,.28
171,179,.73,.27
180,188,.74,.26
189,197,.75,.25
198,206,.76,.24
207,215,.77,.23
216,225,.78,.22
226,235,.79,.21
236,245,.80,.20
246,256,.81,.19
257,267,.82,.18
268,278,.83,.17
279,290,.84,.16
291,302,.85,.15
303,315,.86,.14
316,328,.87,.13
329,344,.88,.12
345,357,.89,.11
358,374,.90,.10
375,391,.91,.09
392,411,.92,.08
412,432,.93,.07
433,456,.94,.06
457,484,.95,.05
485,517,.96,.04
518,559,.97,.03
560,619,.98,.02
620,735,.99,.01
735,5000,1.0,.00
